# Resolved pools list by minerstat for msOS
# Updated Sun May 12 08:00:32 UTC 2024
104.26.4.192 2miners.com
148.113.0.129 asia.x11gost.mining-dutch.nl
148.113.0.129 asia.yescrypt.mining-dutch.nl
148.113.0.129 asia.yescryptr16.mining-dutch.nl
148.113.0.129 asia.yescryptr32.mining-dutch.nl
148.113.0.129 asia.yespower.mining-dutch.nl
148.113.0.129 asia.yespowerr16.mining-dutch.nl
34.102.152.90 asia1-beam.flypool.org
51.158.155.8 aspac-etc.hiveon.net
51.79.159.104 aspac1-etc.hiveon.net
34.90.112.127 aspac1-eth.hiveon.net
188.165.24.209 astralhash.eu.mine.zpool.ca
198.50.168.213 astralhash.na.mine.zpool.ca
167.114.169.117 atheios.wattpool.net
139.180.175.143 au-01.miningrigrentals.com
8.129.12.192 axe.antpool.com
18.159.238.47 b4c.f2pool.com
185.178.208.145 baikalmine.com
51.91.29.107 bbr.luckypool.io
144.76.26.181 bbscoin.my-mining-pool.de
188.165.24.209 bcd.eu.mine.zpool.ca
198.50.168.213 bcd.jp.mine.zpool.ca
64.190.63.222 bcd.mine.blazepool.com
198.50.168.213 bcd.na.mine.zpool.ca
198.50.168.213 bcd.sea.mine.zpool.ca
18.193.26.129 bch.ukrpool.com
172.65.249.47 bch.viabtc.com
172.65.251.107 bch.viabtc.top
54.37.81.148 bci.suprnova.cc
94.130.143.162 bcn.pool.minergate.com
203.107.32.162 bcx.vvpool.com
206.189.151.227 beam-asia.leafpool.com
142.93.134.95 beam-eu.leafpool.com
199.71.214.155 beam-us.leafpool.com
51.79.70.231 beam.acepool.top
47.107.12.109 beam.antpool.com
172.67.212.42 beam.leafpool.com
203.107.33.230 beam.sparkpool.com
195.201.121.246 beam.sunpool.top
45.55.72.65 beam.suprnova.cc
34.111.56.74 beamv3.br.nicehash.com
34.111.56.74 beamv3.eu.nicehash.com
34.111.56.74 beamv3.hk.nicehash.com
34.111.56.74 beamv3.in.nicehash.com
34.111.56.74 beamv3.jp.nicehash.com
34.111.56.74 beamv3.usa.nicehash.com
3.64.163.50 bestminer.eu
104.21.67.193 bibop.net
188.165.24.209 binarium-v1.eu.mine.zpool.ca
198.50.168.213 binarium-v1.jp.mine.zpool.ca
198.50.168.213 binarium-v1.na.mine.zpool.ca
172.65.205.242 bitcoin.viabtc.com
172.65.223.122 bitcoin.viabtc.top
103.249.70.7 bitcore.asia.mine.zergpool.com
188.165.24.209 bitcore.eu.mine.zpool.ca
198.50.168.213 bitcore.jp.mine.zpool.ca
103.249.70.7 bitcore.mine.zergpool.com
198.50.168.213 bitcore.na.mine.zpool.ca
188.165.198.144 bittubecash.miner.rocks
51.79.251.11 blake2b.asia.mine.zergpool.com
188.165.24.209 blake2b.eu.mine.zpool.ca
103.249.70.7 blake2b.mine.zergpool.com
198.50.168.213 blake2b.na.mine.zpool.ca
51.79.251.11 blake2s.asia.mine.zergpool.com
34.111.253.192 blake2s.br.nicehash.com
188.165.24.209 blake2s.eu.mine.zpool.ca
34.111.253.192 blake2s.eu.nicehash.com
34.111.253.192 blake2s.hk.nicehash.com
34.111.253.192 blake2s.in.nicehash.com
198.50.168.213 blake2s.jp.mine.zpool.ca
34.111.253.192 blake2s.jp.nicehash.com
64.190.63.222 blake2s.mine.blazepool.com
103.249.70.7 blake2s.mine.zergpool.com
198.50.168.213 blake2s.na.mine.zpool.ca
74.48.185.37 blake2s.pool.atomminer.com
198.50.168.213 blake2s.sea.mine.zpool.ca
34.111.253.192 blake2s.usa.nicehash.com
188.165.24.209 blakecoin.eu.mine.zpool.ca
3.64.163.50 blockify.xyz
149.56.23.23 blockmasters.co
51.79.251.11 bmw512.asia.mine.zergpool.com
141.95.55.97 bmw512.eu.mine.zergpool.com
188.165.24.209 bmw512.eu.mine.zpool.ca
103.249.70.7 bmw512.mine.zergpool.com
198.50.168.213 bmw512.na.mine.zpool.ca
172.65.231.147 bs.poolbinance.com
103.224.182.238 bsod.pw
8.209.81.41 bsv.ukrpool.com
172.65.196.131 btc-eu.f2pool.com
35.202.11.182 btc-eu.luxor.tech
172.65.196.131 btc-mow.f2pool.com
172.65.202.250 btc-us.f2pool.com
35.202.11.182 btc-us.luxor.tech
104.21.73.242 btc.blockwarepool.com
172.65.196.131 btc.f2pool.com
35.244.212.109 btc.luxor.tech
172.65.253.87 btc.ss.poolin.com
3.64.240.196 btc.trustpool.ru
3.65.178.51 btc.ukrpool.com
172.65.233.152 btc.viabtc.com
172.65.253.106 btc.viabtc.top
199.59.243.225 btch.cryptonote.club
162.19.139.120 btcp.2miners.com
54.37.81.148 btcp.suprnova.cc
103.224.212.212 btcv.gomine.pro
162.19.139.120 btcz.2miners.com
141.94.138.162 btcz.altpool.pro
147.135.220.159 btcz.suprnova.cc
162.19.139.181 btg.2miners.com
103.224.212.214 btg.hashcity.org
3.64.163.50 btg.pool.gold
145.239.0.50 btg.suprnova.cc
37.187.226.146 bth.altpool.pro
18.185.240.102 bze.pcmining.xyz
51.79.251.11 c11.asia.mine.zergpool.com
188.165.24.209 c11.eu.mine.zpool.ca
198.50.168.213 c11.jp.mine.zpool.ca
103.249.70.7 c11.mine.zergpool.com
198.50.168.213 c11.na.mine.zpool.ca
51.222.12.70 ca-qrl.miningocean.org
155.138.134.202 ca-tor01.miningrigrentals.com
51.222.12.70 ca-upx.miningocean.org
141.95.126.31 ca.conceal.herominers.com
141.95.126.31 ca.haven.herominers.com
167.114.208.25 ca.haven.miner.rocks
141.95.126.31 ca.monero.herominers.com
155.138.150.133 ca.rvn.minermore.com
141.95.126.31 ca.scala.herominers.com
68.183.195.129 ca.stratu.ms
147.182.154.134 ca.stratum.slushpool.com
217.182.199.123 cfx-eu.ss.poolflare.net
192.99.233.13 cfx-us.ss.poolflare.net
13.215.188.210 cfx.ss.poolflare.net
217.182.199.123 cfx.ss.poolflare.net
49.13.50.5 champmine.de
142.202.242.43 chicago01.hashvault.pro
199.59.243.225 chukwa.cryptonote.club
172.65.222.4 ckb.antpool.com
172.65.199.69 ckb.f2pool.com
203.107.33.230 ckb.sparkpool.com
39.107.217.77 ckb.stratum.hashpool.com
162.19.139.120 clo.2miners.com
168.119.146.54 cluster.aionpool.tech
103.214.5.103 cmm-eu.coinblockers.com
3.143.54.106 cmra.miningpool.fun
51.210.32.161 coinotron.com
184.190.233.217 coins4u.cc
104.21.95.136 comining.io
141.95.126.31 conceal.herominers.com
188.165.198.144 conceal.miner.rocks
172.67.198.198 coolpool.top
144.76.26.181 cpacoin.my-mining-pool.de
141.8.199.177 cpu-pool.com
51.79.251.11 cpupower.asia.mine.zergpool.com
141.95.55.97 cpupower.eu.mine.zergpool.com
188.165.24.209 cpupower.eu.mine.zpool.ca
103.249.70.7 cpupower.mine.zergpool.com
64.91.248.18 crypit.net
103.224.182.238 cryptodredge-ax16r-oeu.bsod.pw
34.111.86.137 cryptonightr.br.nicehash.com
34.111.86.137 cryptonightr.eu.nicehash.com
34.111.86.137 cryptonightr.hk.nicehash.com
34.111.86.137 cryptonightr.in.nicehash.com
34.111.86.137 cryptonightr.jp.nicehash.com
34.111.86.137 cryptonightr.usa.nicehash.com
199.59.243.225 cryptonote.club
199.59.243.225 cryptonote.social
162.19.139.181 ctxc.2miners.com
39.107.213.229 cuckoo.cortexmint.com
35.244.231.52 cuckoocycle.br.nicehash.com
35.244.231.52 cuckoocycle.eu.nicehash.com
35.244.231.52 cuckoocycle.hk.nicehash.com
35.244.231.52 cuckoocycle.in.nicehash.com
35.244.231.52 cuckoocycle.jp.nicehash.com
35.244.231.52 cuckoocycle.usa.nicehash.com
34.149.10.66 daggerhashimoto.br.nicehash.com
34.149.10.66 daggerhashimoto.eu.nicehash.com
34.149.10.66 daggerhashimoto.hk.nicehash.com
34.149.10.66 daggerhashimoto.in.nicehash.com
34.149.10.66 daggerhashimoto.jp.nicehash.com
34.149.10.66 daggerhashimoto.usa.nicehash.com
35.202.11.182 dash-asia.luxor.tech
35.202.11.182 dash-eu.luxor.tech
8.217.23.131 dash.f2pool.com
75.2.97.15 dash.ss.poolin.com
217.182.199.85 dash.suprnova.cc
64.190.63.222 dbix-us.maxhash.org
103.224.212.214 dbix.hashcity.org
159.69.56.113 dbix.pool.sexy
35.202.11.182 dcr-eu.luxor.tech
35.202.11.182 dcr-us.luxor.tech
172.65.248.206 dcr.antpool.com
51.81.56.15 de.ckpool.org
23.91.82.154 de.equihash.pro
134.122.86.59 de.stratu.ms
141.95.72.61 de01.supportxmr.com
141.95.72.60 de02.supportxmr.com
188.165.24.209 decred.eu.mine.zpool.ca
198.50.168.213 decred.jp.mine.zpool.ca
198.50.168.213 decred.na.mine.zpool.ca
188.165.24.209 dedal.eu.mine.zpool.ca
47.107.15.105 dero.antpool.com
188.165.198.144 dero.miner.rocks
35.76.39.213 dero.ss.dxpool.com
5.9.193.22 dgbo.suprnova.cc
5.9.193.22 dgbq.suprnova.cc
54.37.81.148 dgbs.suprnova.cc
3.64.163.50 digihash.co
108.161.219.201 dlinodes.com
178.128.242.134 donate.v2.xmrig.com
20.193.89.74 duckiepool.com
103.224.212.212 dvt.gomine.pro
13.115.187.122 dxpool.com
145.239.0.126 dyn.suprnova.cc
34.111.115.126 eaglesong.eu.nicehash.com
34.111.115.126 eaglesong.hk.nicehash.com
34.111.115.126 eaglesong.usa.nicehash.com
104.156.227.248 east.us.rvn.minermore.com
198.50.168.213 eccak.na.mine.zpool.ca
185.178.208.137 egem-esoteria.icanmining.ru
45.43.30.3 egem.digipools.org
162.19.139.182 ella.2miners.com
45.43.30.4 ella.digipools.org
159.69.56.113 ella.pool.sexy
47.89.180.253 em.huobipool.com
145.239.0.106 emc2.suprnova.cc
51.79.251.11 equihash.asia.mine.zergpool.com
35.244.175.27 equihash.br.nicehash.com
141.95.55.97 equihash.eu.mine.zergpool.com
198.50.168.213 equihash.eu.mine.zpool.ca
35.244.175.27 equihash.eu.nicehash.com
18.139.133.227 equihash.f2pool.com
35.244.175.27 equihash.hk.nicehash.com
35.244.175.27 equihash.in.nicehash.com
198.50.168.213 equihash.jp.mine.zpool.ca
35.244.175.27 equihash.jp.nicehash.com
34.98.72.143 equihash.luxor.tech
103.249.70.7 equihash.mine.zergpool.com
51.178.76.133 equihash.mining-dutch.nl
149.56.111.148 equihash.na.mine.zergpool.com
198.50.168.213 equihash.na.mine.zpool.ca
198.50.168.213 equihash.sea.mine.zpool.ca
35.244.175.27 equihash.usa.nicehash.com
51.79.251.11 equihash125.asia.mine.zergpool.com
141.95.55.97 equihash125.eu.mine.zergpool.com
103.249.70.7 equihash125.mine.zergpool.com
149.56.111.148 equihash125.na.mine.zergpool.com
198.50.168.213 equihash125.na.mine.zpool.ca
51.79.251.11 equihash144.asia.mine.zergpool.com
141.95.55.97 equihash144.eu.mine.zergpool.com
188.165.24.209 equihash144.eu.mine.zpool.ca
198.50.168.213 equihash144.jp.mine.zpool.ca
103.249.70.7 equihash144.mine.zergpool.com
149.56.111.148 equihash144.na.mine.zergpool.com
198.50.168.213 equihash144.na.mine.zpool.ca
198.50.168.213 equihash144.sea.mine.zpool.ca
51.79.251.11 equihash192.asia.mine.zergpool.com
141.95.55.97 equihash192.eu.mine.zergpool.com
188.165.24.209 equihash192.eu.mine.zpool.ca
198.50.168.213 equihash192.jp.mine.zpool.ca
103.249.70.7 equihash192.mine.zergpool.com
149.56.111.148 equihash192.na.mine.zergpool.com
198.50.168.213 equihash192.na.mine.zpool.ca
198.50.168.213 equihash192.sea.mine.zpool.ca
188.165.24.209 equihash96.eu.mine.zpool.ca
198.50.168.213 equihash96.na.mine.zpool.ca
8.136.41.145 es.huobipool.com
64.190.63.222 etc-eu.maxhash.org
89.108.117.245 etc-solo.baikalmine.com
167.86.107.32 etc-solo.wattpool.net
64.190.63.222 etc-us.maxhash.org
135.125.8.177 etc.altpool.pro
89.232.109.242 etc.coolpool.top
45.43.30.3 etc.digipools.org
35.183.200.119 etc.ethashpool.com
172.67.147.102 etc.ethermine.org
172.65.197.4 etc.f2pool.com
103.224.212.214 etc.hashcity.org
136.243.150.172 etc.pool.minergate.com
37.27.16.41 etc.pool.zet-tech.eu
104.21.59.21 etc.solomine.org
103.224.182.253 etcc.mole-pool.net
188.132.174.88 etcturk.com
185.178.208.137 eth-esoteria.icanmining.ru
172.65.212.50 eth-eu.f2pool.com
64.190.63.222 eth-eu.maxhash.org
172.65.233.185 eth-eu.sparkpool.com
172.65.212.50 eth-na.f2pool.com
167.86.74.33 eth-solo.wattpool.net
172.65.212.50 eth-us.f2pool.com
64.190.63.222 eth-us.maxhash.org
51.195.88.15 eth.2miners.com
141.95.3.13 eth.altpool.pro
45.43.30.3 eth.digipools.org
35.183.200.119 eth.ethashpool.com
172.65.212.50 eth.f2pool.com
103.224.212.214 eth.hashcity.org
34.90.112.127 eth.hiveon.net
82.66.76.180 eth.miningfrance.io
136.243.150.172 eth.pool.minergate.com
95.217.117.31 eth.pool.zet-tech.eu
104.21.89.53 eth.pool.zhizhu.top
13.248.242.43 eth.ss.poolin.com
18.142.208.193 eth.ukrpool.com
172.65.217.224 eth.viabtc.top
138.68.130.227 ethash-eu.unmineable.com
174.138.53.224 ethash-us.unmineable.com
51.79.251.11 ethash.asia.mine.zergpool.com
141.95.55.97 ethash.eu.mine.zergpool.com
103.249.70.7 ethash.mine.zergpool.com
149.56.111.148 ethash.na.mine.zergpool.com
138.68.130.227 ethash.tron-mining.com
138.68.130.227 ethash.unmineable.com
149.56.143.200 ether1-solo.wattpool.net
13.248.213.45 ether1.weeminepool.com
18.158.132.28 ethereum.trustpool.ru
172.67.147.102 ethermine.org
159.69.56.113 etho.pool.sexy
172.65.212.50 ethv2-eu.f2pool.com
176.9.119.47 etnx.pool-pay.com
162.19.139.119 etp.2miners.com
52.31.129.74 etp.dodopool.com
185.107.56.54 etp.sandpool.org
89.232.109.242 etx.coolpool.top
188.166.37.58 eu-01.miningrigrentals.com
8.208.31.174 eu-bch.ss.btc.com
188.166.161.62 eu-de01.miningrigrentals.com
165.227.153.169 eu-de02.miningrigrentals.com
142.132.196.84 eu-etc.hiveon.net
34.90.112.127 eu-eth.hiveon.net
104.237.10.164 eu-mine.smartcash.cc
3.127.21.66 eu-pool.wienchain.com
91.210.105.199 eu-ru01.miningrigrentals.com
78.46.178.183 eu-solo-zel.zellabs.net
217.173.235.116 eu-west-stratum.grinmint.com
65.108.45.36 eu-xsg.equihub.pro
65.108.45.36 eu-zcl.equihub.pro
65.108.45.36 eu-zel.equihub.pro
95.216.172.217 eu-zel.zellabs.net
65.108.45.36 eu-zer.equihub.pro
65.108.45.36 eu-zero.equihub.pro
52.49.70.187 eu-zil.rustpool.xyz
168.119.146.54 eu.aionpool.tech
54.37.167.74 eu.altpool.eu
107.23.12.6 eu.anyhash.net
103.224.182.238 eu.bsod.pw
103.224.212.210 eu.btcprivate.pro
141.94.138.162 eu.btgpool.pro
95.179.161.157 eu.crazypool.org
161.35.17.201 eu.emcd.io
65.108.45.36 eu.equihub.pro
103.224.212.214 eu.expmine.pro
51.91.56.176 eu.frostypool.com
72.52.178.23 eu.hyperpool.tech
79.137.70.48 eu.luckpool.net
164.68.119.159 eu.mecrypto.club
18.193.115.229 eu.nimpool.io
68.183.74.40 eu.pool.ms
103.224.212.214 eu.poolmine.xyz
78.47.203.132 eu.ravenminer.com
149.28.243.131 eu.rito.minermore.com
136.244.92.193 eu.rvn.minermore.com
51.210.219.138 eu.rvnsolo.k1pool.com
68.183.74.40 eu.sandbox.pool.ms
139.162.187.240 eu.siamining.com
172.65.236.221 eu.ss.btc.com
39.106.232.84 eu.ss.dpool.top
188.166.28.238 eu.stratum.slushpool.com
46.101.181.185 eu.ubiqpool.io
82.192.82.225 eu1-3g.whalesburg.com
34.102.152.90 eu1-beam.flypool.org
99.83.212.14 eu1-zil.shardpool.io
103.224.182.238 eu1.bsod.pw
65.108.45.36 eu1.equihub.pro
3.64.163.50 eu1.fairpool.pro
18.192.32.74 eu1.ltc.sigmapool.com
77.239.48.10 eu1.mastermining.net
37.48.65.136 eu1.whalesburg.com
161.97.153.203 eu1.zhash.pro
18.202.2.148 eu2-zil.rustpool.xyz
143.110.161.163 eu2.emcd.io
37.48.65.136 eu2.whalesburg.com
167.86.70.134 eupool.sinovate.io
176.126.85.244 eurocdy.pool.awmlite.com
217.146.69.14 eurohash.eu
51.89.118.3 europe.dgb256.online
95.179.161.251 europe.ethash-hub.miningpoolhub.com
95.179.161.251 europe.kawpow-hub.miningpoolhub.com
15.197.192.55 europe.miner.tokyo
95.179.161.251 europe.randomx-hub.miningpoolhub.com
162.19.139.119 exp.2miners.com
104.21.49.203 ezil.me
104.18.2.198 f2pool.com
88.156.253.31 fastepic.eu
213.91.128.133 fastpool.xyz
199.59.243.225 fed.cryptonote.club
141.95.126.31 fi.haven.herominers.com
149.102.143.109 fr.moneroocean.stream
95.179.241.203 frankfurt01.hashvault.pro
178.62.207.132 freshgarlicblocks.net
65.109.50.145 fullnode.quarkchain.io
5.9.193.21 gap.suprnova.cc
79.141.68.198 gate.emcd.io
213.32.53.176 geo.pool.akroma.eu
185.198.70.250 geo.pool.whalecoin.eu
103.224.212.212 gomine.pro
172.67.216.7 gpuhash.org
103.224.212.210 gpuhot.com
207.148.153.11 graft.westcoastxmr.ca
116.203.132.225 grimm.sunpool.top
185.53.177.52 grin-pool.org
162.19.139.184 grin.2miners.com
47.112.85.133 grin.antpool.com
94.130.143.162 grin.pool.minergate.com
203.107.33.230 grin.sparkpool.com
34.111.90.158 grincuckatoo32.eu.nicehash.com
34.111.90.158 grincuckatoo32.hk.nicehash.com
34.111.90.158 grincuckatoo32.usa.nicehash.com
51.79.251.11 groestl.asia.mine.zergpool.com
188.165.24.209 groestl.eu.mine.zpool.ca
198.50.168.213 groestl.jp.mine.zpool.ca
103.249.70.7 groestl.mine.zergpool.com
51.178.76.133 groestl.mining-dutch.nl
198.50.168.213 groestl.na.mine.zpool.ca
104.248.240.136 grs.suprnova.cc
172.65.217.190 gs.poolbinance.com
149.102.143.109 gulf.moneroocean.stream
8.209.83.152 handshake-de.6block.com
47.88.21.234 handshake-us.6block.com
149.129.80.119 handshake.6block.com
81.163.20.40 hathor.acc-pool.pw
141.95.126.31 haven.herominers.com
188.165.198.144 haven.miner.rocks
47.112.122.28 hc.antpool.com
188.165.24.209 hex.eu.mine.zpool.ca
198.50.168.213 hex.jp.mine.zpool.ca
198.50.168.213 hex.na.mine.zpool.ca
141.95.126.31 hk.haven.herominers.com
51.79.251.11 hmq1725.asia.mine.zergpool.com
141.95.55.97 hmq1725.eu.mine.zergpool.com
188.165.24.209 hmq1725.eu.mine.zpool.ca
198.50.168.213 hmq1725.jp.mine.zpool.ca
64.190.63.222 hmq1725.mine.blazepool.com
103.249.70.7 hmq1725.mine.zergpool.com
198.50.168.213 hmq1725.na.mine.zpool.ca
198.50.168.213 hmq1725.sea.mine.zpool.ca
3.120.155.25 hns.f2pool.com
3.64.163.50 hns.pool.blackminer.com
35.76.39.213 hns.ss.dxpool.com
217.182.138.181 hodl.suprnova.cc
188.165.24.209 honeycomb.eu.mine.zpool.ca
198.50.168.213 honeycomb.na.mine.zpool.ca
95.179.161.251 hub.miningpoolhub.com
162.19.139.182 hush.2miners.com
147.135.220.159 hush.suprnova.cc
172.67.71.15 icemining.ca
134.209.156.206 in.stratu.ms
207.244.228.24 infinity.ultranote.org
3.64.163.50 italo.network
188.165.24.209 jeonghash.eu.mine.zpool.ca
167.179.76.62 jp-01.miningrigrentals.com
165.232.169.237 jp.stratum.slushpool.com
51.79.251.11 k12.asia.mine.zergpool.com
103.249.70.7 k12.mine.zergpool.com
149.56.111.148 k12.na.mine.zergpool.com
51.79.251.11 kawpow.asia.mine.zergpool.com
35.190.124.115 kawpow.br.nicehash.com
141.95.55.97 kawpow.eu.mine.zergpool.com
35.190.124.115 kawpow.eu.nicehash.com
35.190.124.115 kawpow.hk.nicehash.com
35.190.124.115 kawpow.in.nicehash.com
35.190.124.115 kawpow.jp.nicehash.com
103.249.70.7 kawpow.mine.zergpool.com
51.178.76.133 kawpow.mining-dutch.nl
149.56.111.148 kawpow.na.mine.zergpool.com
35.190.124.115 kawpow.usa.nicehash.com
139.99.125.226 kda-asia.ss.poolflare.net
45.76.180.119 kda-asia.ss.poolflare.net
217.182.199.123 kda-eu.ss.poolflare.com
51.195.60.157 kda-eu.ss.poolflare.net
168.119.79.208 kda-eu2.ss.poolflare.net
192.99.233.13 kda-us.ss.poolflare.com
192.99.233.13 kda-us.ss.poolflare.net
172.65.197.4 kda.f2pool.com
168.119.79.208 kda.ss.poolflare.com
13.215.188.210 kda.ss.poolflare.net
192.99.233.13 kda.ss.poolflare.net
47.95.128.206 kda.stratum.hashpool.com
51.79.251.11 keccak.asia.mine.zergpool.com
188.165.24.209 keccak.eu.mine.zpool.ca
34.111.174.176 keccak.eu.nicehash.com
34.111.174.176 keccak.hk.nicehash.com
198.50.168.213 keccak.jp.mine.zpool.ca
103.249.70.7 keccak.mine.zergpool.com
51.178.76.133 keccak.mining-dutch.nl
149.56.111.148 keccak.na.mine.zergpool.com
198.50.168.213 keccak.na.mine.zpool.ca
34.111.174.176 keccak.usa.nicehash.com
103.249.70.7 keccakc.asia.mine.zergpool.com
188.165.24.209 keccakc.eu.mine.zpool.ca
198.50.168.213 keccakc.jp.mine.zpool.ca
103.249.70.7 keccakc.mine.zergpool.com
198.50.168.213 keccakc.na.mine.zpool.ca
174.89.105.161 kingsminer.ddnsking.com
178.62.28.102 kp.unmineable.com
217.182.138.181 kreds.suprnova.cc
35.76.39.213 kva.ss.dxpool.com
194.110.54.56 kz.emcd.io
185.198.70.250 lb.geo.egempool.eu
185.198.70.250 lb.geo.pirlpool.eu
213.32.53.180 lb.geo.ubiqpool.org
34.107.203.102 lbc.luxor.tech
188.165.24.209 lbk3.eu.mine.zpool.ca
198.50.168.213 lbk3.jp.mine.zpool.ca
198.50.168.213 lbk3.na.mine.zpool.ca
51.79.251.11 lbry.asia.mine.zergpool.com
188.165.24.209 lbry.eu.mine.zpool.ca
34.111.210.68 lbry.eu.nicehash.com
34.111.210.68 lbry.hk.nicehash.com
198.50.168.213 lbry.jp.mine.zpool.ca
103.249.70.7 lbry.mine.zergpool.com
198.50.168.213 lbry.na.mine.zpool.ca
104.248.240.136 lbry.suprnova.cc
34.111.210.68 lbry.usa.nicehash.com
108.91.11.33 lidonia.com
64.225.65.218 litecoinpool.org
47.91.170.62 ls.huobipool.com
172.65.249.114 ltc-eu.f2pool.com
172.65.202.250 ltc-us.f2pool.com
172.65.249.114 ltc.f2pool.com
88.99.142.163 ltc.pool.minergate.com
18.235.84.188 ltc.ss.poolin.com
172.65.199.137 ltc.viabtc.com
172.65.204.210 ltc.viabtc.top
18.185.29.169 ltz.pcmining.xyz
